epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1385.5,1.34866,0.85184,0.99941,0.79515,0.58748,0.67318,0.36638,1.49674,0.95063,1.03714,0.007921,0.007921,0.007921
44,1415.33,1.32784,0.83579,0.99074,0.80073,0.59901,0.68361,0.37662,1.46997,0.91343,1.02529,0.0078715,0.0078715,0.0078715
45,1445.01,1.33335,0.84684,1.00193,0.8032,0.59448,0.68834,0.37616,1.50614,0.94932,1.04077,0.007822,0.007822,0.007822
46,1474.37,1.31733,0.84283,0.99313,0.78253,0.61325,0.68661,0.37404,1.48374,0.94093,1.03453,0.0077725,0.0077725,0.0077725
47,1504.32,1.30294,0.82009,0.99171,0.79978,0.60805,0.69329,0.37907,1.46569,0.92145,1.02996,0.007723,0.007723,0.007723
48,1533.95,1.32506,0.82911,0.9911,0.8017,0.61153,0.69105,0.38111,1.46766,0.91935,1.03328,0.0076735,0.0076735,0.0076735
49,1563.54,1.32406,0.835,0.99676,0.8062,0.61573,0.6959,0.3845,1.45354,0.91286,1.02279,0.007624,0.007624,0.007624
50,1593.22,1.31229,0.83558,0.99681,0.77275,0.61673,0.68766,0.37559,1.48213,0.92304,1.03279,0.0075745,0.0075745,0.0075745
51,1622.87,1.29617,0.82248,0.98585,0.81538,0.60807,0.69681,0.38076,1.47918,0.92002,1.03381,0.007525,0.007525,0.007525
52,1652.37,1.30476,0.82514,0.99016,0.81201,0.61937,0.69781,0.3833,1.45656,0.89653,1.02169,0.0074755,0.0074755,0.0074755
53,1682.19,1.30533,0.81666,0.98633,0.80332,0.6028,0.69425,0.38289,1.46333,0.90965,1.0342,0.007426,0.007426,0.007426
54,1711.68,1.30573,0.8146,0.98646,0.7915,0.62302,0.69521,0.38065,1.45607,0.91056,1.02371,0.0073765,0.0073765,0.0073765
55,1741.2,1.29318,0.80733,0.98989,0.81747,0.6172,0.69963,0.3864,1.46403,0.90844,1.02732,0.007327,0.007327,0.007327
56,1770.94,1.30362,0.81311,0.98834,0.79402,0.62097,0.69643,0.37656,1.47048,0.90893,1.0302,0.0072775,0.0072775,0.0072775
57,1800.54,1.29364,0.80436,0.98309,0.83035,0.61811,0.7085,0.39626,1.44645,0.87903,1.01883,0.007228,0.007228,0.007228
58,1830.27,1.28456,0.79215,0.98152,0.81268,0.62901,0.71303,0.3956,1.45126,0.88243,1.01944,0.0071785,0.0071785,0.0071785
59,1860.01,1.28567,0.80232,0.98575,0.79476,0.62213,0.70085,0.38869,1.45236,0.87706,1.01555,0.007129,0.007129,0.007129
60,1889.8,1.28774,0.81129,0.97832,0.7854,0.61648,0.69116,0.38514,1.44483,0.90227,1.01752,0.0070795,0.0070795,0.0070795
61,1919.63,1.28433,0.79618,0.98425,0.80572,0.62558,0.70816,0.3929,1.44351,0.88211,1.02301,0.00703,0.00703,0.00703
62,1949.13,1.2842,0.79794,0.98428,0.80215,0.62376,0.70288,0.38961,1.44392,0.88293,1.02276,0.0069805,0.0069805,0.0069805
63,1978.84,1.28009,0.794,0.98032,0.8161,0.61571,0.70623,0.39372,1.42611,0.87908,1.01363,0.006931,0.006931,0.006931
64,2008.63,1.29152,0.79931,0.98392,0.81854,0.62903,0.71382,0.3978,1.4276,0.87932,1.0099,0.0068815,0.0068815,0.0068815
65,2038.16,1.28764,0.80276,0.98293,0.80212,0.64417,0.71404,0.39709,1.42398,0.8695,1.01557,0.006832,0.006832,0.006832
66,2067.76,1.27442,0.78435,0.97626,0.82032,0.62651,0.71414,0.40184,1.42612,0.85616,1.01647,0.0067825,0.0067825,0.0067825
67,2097.54,1.2823,0.78874,0.97802,0.83885,0.62487,0.71082,0.39701,1.42575,0.85769,1.01262,0.006733,0.006733,0.006733
