epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7301,0.92329,0.51299,0.88347,0.83728,0.66846,0.74859,0.43706,1.3329,0.74953,1.01416,0.000405702,0.000405702,0.000405702
2,53.7632,0.92529,0.5173,0.87944,0.81852,0.66875,0.74379,0.43139,1.34972,0.77504,1.02144,0.000818948,0.000818948,0.000818948
3,74.8995,0.9347,0.52458,0.88159,0.82154,0.64411,0.7284,0.41591,1.37084,0.77178,1.03939,0.00122985,0.00122985,0.00122985
4,96.0987,0.94163,0.53068,0.88233,0.81885,0.65701,0.72974,0.41359,1.38195,0.79584,1.02801,0.00123711,0.00123711,0.00123711
5,117.831,0.96578,0.54683,0.89283,0.80905,0.65483,0.72801,0.41412,1.36694,0.83616,1.03034,0.00123344,0.00123344,0.00123344
6,139.292,0.97215,0.5541,0.89427,0.83212,0.64008,0.72895,0.4196,1.37472,0.79426,1.02827,0.00122965,0.00122965,0.00122965
7,159.822,0.96323,0.55308,0.8919,0.83393,0.65776,0.73708,0.42545,1.37114,0.76815,1.02989,0.00122605,0.00122605,0.00122605
8,180.721,0.97496,0.55635,0.89371,0.83741,0.64266,0.73301,0.41249,1.40086,0.80651,1.03325,0.0012225,0.0012225,0.0012225
9,201.951,0.96896,0.54931,0.89238,0.81511,0.66539,0.73867,0.4247,1.37158,0.80142,1.02891,0.00121887,0.00121887,0.00121887
10,223.13,0.96374,0.54435,0.89155,0.82322,0.65345,0.73647,0.42709,1.36094,0.80634,1.02264,0.0012153,0.0012153,0.0012153
11,243.668,0.95978,0.54793,0.89267,0.84358,0.65765,0.74679,0.43326,1.358,0.76922,1.02467,0.00121169,0.00121169,0.00121169
12,264.585,0.95105,0.54306,0.88951,0.83955,0.65728,0.74078,0.42755,1.35268,0.74551,1.01704,0.00120799,0.00120799,0.00120799
13,285.429,0.95226,0.54839,0.88828,0.83326,0.65163,0.73323,0.41679,1.36941,0.80016,1.03132,0.00120459,0.00120459,0.00120459
14,306.407,0.95807,0.54325,0.89317,0.81914,0.6497,0.73171,0.41708,1.3484,0.76734,1.0164,0.00120095,0.00120095,0.00120095
15,327.462,0.95967,0.54792,0.89191,0.83406,0.65369,0.7434,0.42139,1.40215,0.77973,1.04397,0.00119734,0.00119734,0.00119734
16,348.869,0.95883,0.54026,0.88942,0.82583,0.66866,0.747,0.43244,1.34188,0.7542,1.01813,0.00119375,0.00119375,0.00119375
17,369.563,0.96174,0.54607,0.89066,0.83624,0.66616,0.74319,0.42992,1.34225,0.74731,1.01329,0.00119,0.00119,0.00119
18,390.754,0.96115,0.54762,0.88786,0.83734,0.66163,0.74321,0.43016,1.35413,0.77742,1.03022,0.00118644,0.00118644,0.00118644
19,412.092,0.95706,0.55006,0.88883,0.82757,0.67628,0.74412,0.43308,1.332,0.74809,1.01555,0.00118291,0.00118291,0.00118291
20,433.488,0.95242,0.53858,0.8879,0.8515,0.66514,0.75477,0.43226,1.34405,0.76059,1.01637,0.00117918,0.00117918,0.00117918
21,454.964,0.95046,0.53782,0.88701,0.83804,0.67228,0.74466,0.42893,1.35462,0.73382,1.02817,0.00117545,0.00117545,0.00117545
22,476.282,0.9536,0.53917,0.88828,0.80631,0.6842,0.74696,0.42466,1.38555,0.77475,1.03726,0.00117196,0.00117196,0.00117196
23,496.828,0.96163,0.54199,0.88928,0.84367,0.63882,0.73597,0.42797,1.37135,0.78041,1.0278,0.00116824,0.00116824,0.00116824
24,518.496,0.95706,0.54061,0.8896,0.81506,0.65153,0.73411,0.42654,1.34942,0.80702,1.02239,0.00116453,0.00116453,0.00116453
25,539.342,0.93554,0.53067,0.88558,0.81751,0.67667,0.74872,0.43155,1.34642,0.76821,1.02225,0.00116108,0.00116108,0.00116108
26,560.502,0.94188,0.52807,0.88441,0.83394,0.6578,0.73564,0.42342,1.34207,0.76097,1.01981,0.00115737,0.00115737,0.00115737
27,582.199,0.94014,0.53751,0.88333,0.85585,0.64085,0.72797,0.41838,1.35611,0.77655,1.02659,0.00115367,0.00115367,0.00115367
28,602.993,0.94385,0.53614,0.88779,0.82588,0.6567,0.73513,0.41815,1.36713,0.77823,1.02965,0.00114996,0.00114996,0.00114996
29,623.681,0.95103,0.53667,0.88725,0.82558,0.65407,0.73477,0.41873,1.37466,0.77253,1.03189,0.00114657,0.00114657,0.00114657
30,644.891,0.94918,0.52957,0.88725,0.83401,0.64829,0.73478,0.42515,1.37704,0.77839,1.0306,0.00114287,0.00114287,0.00114287
31,665.814,0.94157,0.52678,0.88271,0.82118,0.67026,0.74015,0.42794,1.37387,0.75361,1.04296,0.00113918,0.00113918,0.00113918
32,686.615,0.93561,0.52762,0.8845,0.83028,0.67409,0.74388,0.43461,1.35772,0.73484,1.03198,0.00113583,0.00113583,0.00113583
33,707.35,0.94326,0.52991,0.88587,0.83679,0.65961,0.74211,0.42732,1.36583,0.75428,1.02641,0.00113214,0.00113214,0.00113214
34,727.853,0.93366,0.52367,0.88688,0.84778,0.64019,0.73758,0.42374,1.36656,0.76436,1.029,0.00112846,0.00112846,0.00112846
35,748.736,0.91868,0.52379,0.88259,0.84488,0.64353,0.73379,0.41351,1.38882,0.78924,1.03453,0.00112515,0.00112515,0.00112515
36,769.18,0.9436,0.52674,0.88471,0.84496,0.6696,0.74616,0.43215,1.34768,0.77171,1.02058,0.00112148,0.00112148,0.00112148
37,789.937,0.93204,0.52623,0.88792,0.81053,0.66793,0.73478,0.4263,1.35072,0.7594,1.0234,0.0011178,0.0011178,0.0011178
38,811.267,0.93422,0.53247,0.88541,0.82076,0.66479,0.73445,0.42757,1.33061,0.76841,1.02116,0.00111453,0.00111453,0.00111453
39,832.19,0.93803,0.53149,0.88628,0.83488,0.66691,0.74786,0.43574,1.35094,0.77771,1.02474,0.00111087,0.00111087,0.00111087
40,852.657,0.92305,0.52171,0.88162,0.81817,0.65708,0.72354,0.42045,1.34319,0.82708,1.02213,0.00110721,0.00110721,0.00110721
41,874.097,0.92694,0.52026,0.88605,0.8244,0.64619,0.7202,0.41274,1.39515,0.81008,1.03124,0.00110355,0.00110355,0.00110355
42,894.916,0.93863,0.52598,0.8811,0.83011,0.65351,0.73479,0.42557,1.36987,0.78759,1.02558,0.00109989,0.00109989,0.00109989
43,915.58,0.93502,0.52812,0.8838,0.82724,0.64604,0.72645,0.41363,1.38389,0.7854,1.03537,0.00109623,0.00109623,0.00109623
44,936.283,0.91909,0.51438,0.88072,0.84064,0.65726,0.7416,0.42746,1.39427,0.83801,1.03878,0.00109257,0.00109257,0.00109257
45,957.003,0.92162,0.51676,0.8812,0.82889,0.66797,0.73783,0.42785,1.35229,0.75123,1.021,0.00108938,0.00108938,0.00108938
46,977.593,0.92674,0.52216,0.88026,0.83635,0.65351,0.74385,0.43142,1.35395,0.76494,1.0278,0.00108573,0.00108573,0.00108573
47,998.434,0.92742,0.51841,0.88121,0.83958,0.66168,0.73827,0.42767,1.35929,0.76155,1.02555,0.00108208,0.00108208,0.00108208
48,1019.57,0.92921,0.51701,0.88116,0.83547,0.65919,0.74131,0.42706,1.37396,0.76989,1.03418,0.00107843,0.00107843,0.00107843
49,1040.34,0.91003,0.50776,0.87811,0.81896,0.67042,0.74357,0.42999,1.36652,0.75037,1.02728,0.00107478,0.00107478,0.00107478
50,1061.59,0.92823,0.52224,0.87892,0.83906,0.67244,0.75742,0.4412,1.3398,0.76016,1.01697,0.00107165,0.00107165,0.00107165
51,1082.51,0.9226,0.51587,0.88256,0.83515,0.65669,0.73715,0.42802,1.35133,0.77872,1.02207,0.00106801,0.00106801,0.00106801
52,1103.42,0.91211,0.51049,0.87706,0.81826,0.66546,0.73495,0.42182,1.36878,0.76841,1.02343,0.00106437,0.00106437,0.00106437
53,1124.64,0.92614,0.5183,0.8806,0.82393,0.65208,0.73078,0.4248,1.35428,0.76292,1.02046,0.00106074,0.00106074,0.00106074
54,1145.47,0.90933,0.50929,0.87784,0.8297,0.66897,0.74381,0.43768,1.33331,0.74078,1.0115,0.0010571,0.0010571,0.0010571
55,1166.23,0.91047,0.51413,0.88033,0.81771,0.67365,0.73944,0.43006,1.34624,0.74307,1.01846,0.00105346,0.00105346,0.00105346
56,1187.44,0.90688,0.50956,0.87685,0.85015,0.64354,0.73859,0.42652,1.364,0.7538,1.02997,0.00104982,0.00104982,0.00104982
57,1208.44,0.90918,0.5107,0.8791,0.80132,0.65468,0.72939,0.43209,1.34891,0.76893,1.01718,0.00104618,0.00104618,0.00104618
